Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723750	193	0	0	0	0	180323	493504	0	2049224	6487695	0	27242	0	476987	2583	850305	1065	11	836	10	36
1771723751	194	0	0	0	0	182808	501108	0	2088464	6500881	0	27382	0	478520	2597	850653	1066	11	843	10	39
1771723752	195	0	0	0	0	181511	647580	0	2404728	6514067	0	27526	0	480941	2618	851227	1071	11	849	12	43
1771723753	196	0	0	0	0	180361	493476	0	2073812	6527253	0	27666	0	484994	2632	851958	1076	11	851	10	39
1771723754	197	0	0	0	0	181804	497816	0	2082596	6540439	0	27806	0	486075	2642	852128	1077	11	854	10	39
1771723755	198	0	0	0	0	178890	489228	0	2065016	6553625	0	27948	0	489090	2660	852940	1082	11	859	10	39
1771723756	199	0	0	0	0	182313	499504	0	2085524	6566811	0	28090	0	489740	2664	852940	1082	11	864	10	39
1771723757	200	0	0	0	0	177420	484780	0	2056232	6579997	0	28230	0	490332	2672	853064	1084	11	867	10	39
1771723758	201	0	0	0	0	181816	498020	0	2082596	6593183	0	28370	0	490556	2676	853064	1084	11	872	10	39
1771723759	202	0	0	0	0	183302	502236	0	2115980	6606369	0	28514	0	491192	2684	853360	1088	11	877	10	42
1771723760	203	0	0	0	0	177820	338644	0	1724544	6619555	0	28652	0	491999	2689	853484	1090	11	877	8	33
1771723761	204	0	0	0	0	183285	502404	0	2091392	6632741	0	28796	0	492111	2691	853484	1090	11	884	10	39
1771723762	205	0	0	0	0	180293	343540	0	1767096	6645927	0	28936	0	493278	2703	854164	1094	11	886	8	37
1771723763	206	0	0	0	0	180354	493612	0	2073812	6659113	0	29078	0	499743	2722	854981	1100	12	893	10	39
1771723764	207	0	0	0	0	180523	489760	0	2031172	6678892	0	29308	0	499967	2726	854981	1100	12	893	6	29
1771723765	208	0	0	0	0	181055	645616	0	2433608	6685485	0	29360	0	501606	2739	855309	1103	12	907	12	47
1771723766	209	0	0	0	0	183780	503828	0	2094320	6698671	0	29500	0	501942	2745	855309	1103	12	907	10	39
1771723767	210	0	0	0	0	179405	490592	0	2092544	6711857	0	29642	0	502760	2752	855309	1103	12	912	10	42
1771723768	211	0	0	0	0	176135	626068	0	2361768	6725043	0	29780	0	504867	2773	856039	1109	12	919	12	43
1771723769	212	0	0	0	0	178801	340552	0	1728448	6738229	0	29922	0	516779	2804	863216	1125	12	919	8	33
1771723770	213	0	0	0	0	181783	497836	0	2058008	6751415	0	30062	0	517085	2809	863216	1125	12	920	10	36
1771723771	214	0	0	0	0	176964	483396	0	2077892	6764601	0	30202	0	519274	2818	863302	1126	12	929	10	42
1771723772	215	0	0	0	0	179304	341636	0	1746800	6777787	0	30344	0	526743	2836	864310	1133	12	929	8	35
1771723773	216	0	0	0	0	179308	341648	0	1746800	6790973	0	30484	0	530725	2848	864869	1136	12	932	8	35
1771723774	217	0	0	0	0	179401	490716	0	2092544	6804159	0	30626	0	531005	2853	864869	1136	12	943	10	42
